time,SP01,SP02,SP03,SP04,SP05,SP06,SP07,SP08,SP09,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18
0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0 days 01:00:00,1.0950193,1.0886173,0.0,0.0,0.0,0.0,0.0,1.0881969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0 days 02:00:00,1.0946761,1.0882522,1.0596237,1.0582926,1.0695598,0.0,0.0,1.0863237,1.0675663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0 days 03:00:00,1.0945215,1.0873531,1.05523,1.0408441,1.0684489,0.0,4.0616572e-09,1.0823759,1.0638039,1.0455365,0.0,0.00039493042,2.1942369e-10,1.0474082,0.00047916506,0.0011268615,0.00022241227,1.1200927e-05
0 days 04:00:00,1.094385,1.0865543,1.0564669,1.0553257,1.0663631,0.68509245,0.03931521,1.0784886,1.0596837,1.0416136,0.0,0.00048148524,4.9654907e-05,1.0462188,1.0257937,1.0244813,0.00028041872,5.3383235e-05
0 days 05:00:00,1.0942926,1.0858462,1.0641584,1.0632807,1.0641454,0.66591465,0.6182452,1.0746759,1.0556067,1.0367434,1.0028133,1.0038403,4.8630252e-05,1.0437789,1.0242757,1.020104,0.00027463213,9.093838e-05
0 days 06:00:00,1.0943455,1.0839171,1.0619234,1.0422082,1.0619808,1.0047303,0.98654544,1.0710192,1.0517136,0.7768622,0.99929386,0.97378916,4.7626738e-05,1.0414097,1.0220208,0.7789197,0.9832139,9.703287e-05
0 days 07:00:00,1.0944855,1.0820538,1.060512,1.0399933,1.0606761,1.0302328,0.9098754,1.0861992,1.0482548,0.46901518,1.0300845,0.0001537186,4.6643934e-05,1.0421909,1.0191619,0.49076676,0.7768944,9.503053e-05
0 days 08:00:00,1.094649,1.0789142,1.0593328,1.0182438,1.0595146,1.0337132,0.70417356,1.0840636,1.0632566,1.0311793,1.0451633,0.0001293226,0.58155495,1.0594635,1.0387657,1.0105844,0.51596063,0.94305426
0 days 09:00:00,1.0948154,1.0753003,1.0503888,0.9782329,1.074918,1.0316975,0.70368767,1.0825851,1.060969,1.0297658,1.0610131,0.6298708,0.86232924,1.0577245,1.0380975,1.016361,1.0016059,0.72780377
