sampling_point_id,node_id,x_m,y_m,elevation_m,location_type
SP01,A1,400,500,102,looped
SP02,A2,800,500,103,looped
SP03,A3,1200,500,104,looped
SP04,A4,1600,500,106,looped
SP05,B1,800,900,105,looped
SP06,B2,1200,900,106,looped
SP07,B3,1600,900,108,dead_end
SP08,C1,400,100,103,looped
SP09,C2,800,100,104,looped
SP10,C3,1200,100,105,looped
SP11,D1,400,-250,104,dead_end
SP12,D2,2000,100,108,dead_end
SP13,D3,2000,900,109,dead_end
SP14,E1,400,900,104,looped
SP15,E2,400,1250,106,dead_end
SP16,F1,1600,100,106,looped
SP17,F2,1600,-250,107,looped
SP18,F3,2000,-250,109,dead_end
